Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 48.5061210155 6.79999939166e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 40.2683843136 6.80000521243e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 34.0641787052 6.79999939166e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 28.8457043886 6.69999863021e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 24.7505667925 6.80000521243e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 22.3919238806 6.79999939166e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 19.7812095881 6.80000521243e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 18.0964524031 6.90000015311e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 16.4408998013 6.90000015311e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 15.3782777071 6.79999939166e-05 0.25
All done.
